image_path,type_label,group_id,customer_id,business_label
img_00056.png,权属证明,G018,C012,经营贷
img_00036.png,证件,G012,C038,按揭
img_00080.png,证件,G027,C016,按揭
img_00038.png,证件,G012,C080,按揭
img_00115.png,面签照片,S024,C024,微贷
img_00032.png,合同文档,G011,C006,按揭
img_00064.png,面签照片,G021,C085,微贷
img_00114.png,面签照片,S023,C091,微贷
img_00059.png,面签照片,G020,C009,经营贷
img_00010.png,权属证明,G003,C064,经营贷
img_00097.png,合同文档,S006,C045,按揭
img_00052.png,权属证明,G017,C039,微贷
img_00013.png,合同文档,G004,C035,微贷
img_00008.png,证件,G002,C099,经营贷
img_00024.png,权属证明,G008,C015,按揭
img_00093.png,证件,S002,C071,微贷
img_00000.png,合同文档,G000,C026,微贷
img_00098.png,权属证明,S007,C075,经营贷
img_00090.png,权属证明,G029,C096,消费贷
img_00094.png,合同文档,S003,C094,微贷
img_00045.png,面签照片,G015,C005,消费贷
img_00086.png,证件,G028,C093,微贷
img_00023.png,合同文档,G007,C040,微贷
img_00070.png,合同文档,G024,C039,微贷
img_00028.png,证件,G009,C036,经营贷
img_00065.png,面签照片,G022,C023,微贷
img_00012.png,合同文档,G004,C035,微贷
img_00018.png,权属证明,G006,C003,微贷
img_00069.png,证件,G023,C061,微贷
img_00103.png,合同文档,S012,C090,消费贷
img_00029.png,证件,G009,C036,经营贷
img_00009.png,权属证明,G003,C034,经营贷
img_00102.png,证件,S011,C081,消费贷
img_00084.png,证件,G028,C070,微贷
img_00109.png,权属证明,S018,C039,消费贷
img_00027.png,权属证明,G008,C015,按揭
img_00031.png,证件,G010,C080,消费贷
img_00039.png,证件,G013,C018,经营贷
img_00096.png,权属证明,S005,C017,经营贷
img_00062.png,面签照片,G021,C096,微贷
img_00041.png,面签照片,G014,C039,按揭
img_00049.png,证件,G016,C091,消费贷
img_00073.png,权属证明,G025,C027,经营贷
img_00061.png,面签照片,G021,C001,微贷
img_00113.png,权属证明,S022,C000,经营贷
img_00053.png,权属证明,G017,C039,微贷
img_00006.png,证件,G002,C032,经营贷
img_00085.png,证件,G028,C081,微贷
img_00051.png,证件,G016,C065,消费贷
img_00021.png,合同文档,G007,C040,微贷
img_00025.png,权属证明,G008,C015,按揭
img_00057.png,面签照片,G019,C014,按揭
img_00100.png,面签照片,S009,C000,经营贷
img_00060.png,面签照片,G020,C009,经营贷
img_00118.png,合同文档,S027,C080,微贷
img_00054.png,权属证明,G017,C039,微贷
img_00074.png,权属证明,G025,C027,经营贷
img_00105.png,面签照片,S014,C021,消费贷
img_00003.png,合同文档,G001,C025,按揭
img_00015.png,证件,G005,C035,消费贷
img_00119.png,面签照片,S028,C035,消费贷
img_00030.png,证件,G010,C034,消费贷
img_00007.png,证件,G002,C066,经营贷
img_00067.png,证件,G023,C011,微贷
img_00016.png,证件,G005,C035,消费贷
img_00050.png,证件,G016,C082,消费贷
img_00101.png,权属证明,S010,C020,经营贷
img_00092.png,合同文档,S001,C084,按揭
img_00079.png,证件,G027,C016,按揭
img_00020.png,合同文档,G007,C040,微贷
img_00078.png,面签照片,G026,C038,微贷
img_00099.png,权属证明,S008,C049,消费贷
img_00004.png,合同文档,G001,C025,按揭
img_00076.png,面签照片,G026,C038,微贷
img_00011.png,权属证明,G003,C081,经营贷
img_00088.png,权属证明,G029,C090,消费贷
img_00043.png,面签照片,G014,C069,按揭
img_00042.png,面签照片,G014,C068,按揭
img_00034.png,合同文档,G011,C095,按揭
img_00112.png,面签照片,S021,C051,消费贷
img_00017.png,证件,G005,C035,消费贷
img_00001.png,合同文档,G000,C026,微贷
img_00037.png,证件,G012,C084,按揭
img_00075.png,面签照片,G026,C038,微贷
img_00048.png,证件,G016,C013,消费贷
img_00106.png,面签照片,S015,C033,经营贷
img_00022.png,合同文档,G007,C040,微贷
img_00068.png,证件,G023,C063,微贷
img_00047.png,面签照片,G015,C005,消费贷
img_00055.png,权属证明,G018,C012,经营贷
img_00081.png,证件,G027,C016,按揭
img_00058.png,面签照片,G019,C063,按揭
img_00116.png,证件,S025,C038,按揭
img_00091.png,权属证明,S000,C083,按揭
img_00063.png,面签照片,G021,C067,微贷
img_00117.png,证件,S026,C012,消费贷
img_00077.png,面签照片,G026,C038,微贷
img_00089.png,权属证明,G029,C086,消费贷
img_00095.png,权属证明,S004,C094,微贷
img_00107.png,合同文档,S016,C067,消费贷
img_00072.png,合同文档,G024,C079,微贷
img_00046.png,面签照片,G015,C005,消费贷
img_00040.png,证件,G013,C018,经营贷
img_00071.png,合同文档,G024,C064,微贷
img_00033.png,合同文档,G011,C067,按揭
img_00087.png,权属证明,G029,C007,消费贷
img_00026.png,权属证明,G008,C015,按揭
img_00110.png,面签照片,S019,C053,经营贷
img_00005.png,合同文档,G001,C025,按揭
img_00002.png,合同文档,G000,C026,微贷
img_00108.png,面签照片,S017,C004,消费贷
img_00035.png,合同文档,G011,C081,按揭
img_00019.png,权属证明,G006,C003,微贷
img_00111.png,面签照片,S020,C092,经营贷
img_00014.png,合同文档,G004,C035,微贷
img_00044.png,面签照片,G015,C005,消费贷
img_00082.png,证件,G027,C016,按揭
img_00120.png,面签照片,S029,C032,经营贷
img_00104.png,面签照片,S013,C051,消费贷
img_00066.png,面签照片,G022,C023,微贷
img_00083.png,证件,G028,C013,微贷
